eps_lexicase_select,100853.000000
tournament_select,100135.000000
NSGA_select,45855.000000
SPEA_select,51557.000000
random_select,58813.000000
best_select,57289.000000
worst_select,56881.000000
dub_tournament_select,103992.000000
stochastic_select,94696.000000
lexicase_select,162513.000000
auto_eps_lexicase_select,66100.000000
eps_lexicase_select,100853.000000
tournament_select,100135.000000
NSGA_select,45855.000000
SPEA_select,51557.000000
random_select,58813.000000
best_select,57289.000000
worst_select,56881.000000
dub_tournament_select,103992.000000
stochastic_select,94696.000000
lexicase_select,162513.000000
auto_eps_lexicase_select,66100.000000
